Matches,Runs
463,18426
254,12169
375,13704
227,9205
445,13430
181,8113
228,9577
301,10480
404,14234
311,11363
330,10290
233,8581
248,8094
247,8824
299,10405
448,12650
128,5455
244,8500
132,5232
145,6105
238,8648
328,11579
124,5355
152,6109
186,6927
223,7090
287,9619
235,6951
251,8273
288,9720
83,3985
219,7666
246,7701
304,8701
151,6173
185,6798
123,4335
134,4982
143,5507
344,10889
89,3498
128,4378
128,5134
145,4317
147,5238
187,6721
205,6684
218,6614
268,8778
268,8529
308,9284
83,3599
161,6133
197,6989
207,5606
250,6564
350,10773
378,11739
98,3658
117,4357
148,3872
136,4440
190,5757
198,5841
215,6600
287,7534
72,2290
78,2725
125,4290
227,6581
233,7381
245,7981
280,8037
46,2023
62,2572
73,2773
84,2462
114,3170
164,6068
188,5185
227,5761
265,7249
334,9378
53,2325
70,2419
78,2622
81,2605
86,2338
84,2727
107,3071
127,4205
136,4413
198,5088
196,5359
232,6912
221,6571
398,8064
33,1541
38,1509
47,1447
76,2467
92,3204
102,2824
100,3637
119,2880
120,3846
137,3367
157,3236
143,3675
156,4780
181,5804
181,5964
197,5092
208,5346
226,5615
209,5658
224,6248
260,6083
283,7170
